fips,state,state_abbrev,fy,TotalStateSupport,TotalFinancialAid,GeneralPublicOperations,NetTuitionandFeeRevenue,NetFTEEnrollment
6,California,CA,2020,15760808581,1708456580,16272181359,6246725604,1590119
6,California,CA,2021,16484402102,2276936820,16734751282,5448046295,1502627
6,California,CA,2022,19549984142,2163034000,19396413142,5385574554,1412884
6,California,CA,2023,19358487825,2235860000,19573605825,5453617348,1434158
6,California,CA,2024,20195827357,2395460000,20644896357,5521086344,1520716
8,Colorado,CO,2001,717406443,73509351,574762206,455996844,141492
8,Colorado,CO,2002,733277701,80352481,573140338,503523023,147724
8,Colorado,CO,2003,606544478,101948926,443790196,619189050,156258
8,Colorado,CO,2004,581722070,76140754,451880446,757523831,161181
8,Colorado,CO,2005,601126358,76720377,481848365,754347817,162711
8,Colorado,CO,2006,638765653,78435584,517294491,819683715,158876
8,Colorado,CO,2007,693086984,98656104,538809776,788437172,157382
8,Colorado,CO,2008,750967840,104770242,595561775,910615685,164638
8,Colorado,CO,2009,837159179,111413927,537983701,1021888005,171564
8,Colorado,CO,2010,831951886,105984659,346686668,1207442138,187231
8,Colorado,CO,2011,767188422,106694427,521713929,1373262998,195621
8,Colorado,CO,2012,648886945,106368892,492451054,1429713875,192541
8,Colorado,CO,2013,642091197,106898187,483850867,1511706976,188405
8,Colorado,CO,2014,681371631,112516218,520156090,1669476695,184836
8,Colorado,CO,2015,783159811,154507750,577710305,1647921581,181867
8,Colorado,CO,2016,871367734,150901114,660012038,1750094665,180264
8,Colorado,CO,2017,874725598,151354530,666510764,1860752163,182212
8,Colorado,CO,2018,900535300,155699125,691581843,2005667093,183875
8,Colorado,CO,2019,1000814344,197061473,739615026,2059136789,183744
8,Colorado,CO,2020,1111926347,220003709,823502575,2119482669,188864
8,Colorado,CO,2021,1158059511,215640219,425103946,2053069813,179676
8,Colorado,CO,2022,1305120610,236405724,942403015,2213531541,175533
8,Colorado,CO,2023,1314736643,262587641,999938476,2282026386,175969
8,Colorado,CO,2024,1499488977,280493072,1143818212,2382674199,181532
9,Connecticut,CT,2001,859639833,43548776,705795742,247509268,60976
9,Connecticut,CT,2002,916189034,43478249,753334534,268256137,64183
9,Connecticut,CT,2003,898552550,38783527,754342243,313558465,68062
9,Connecticut,CT,2004,890450394,36263404,747737016,373850696,70030
9,Connecticut,CT,2005,934765872,37408389,787966647,417707646,72278
9,Connecticut,CT,2006,984301293,38161567,831729276,456253859,73608
9,Connecticut,CT,2007,1115082198,41285259,923951455,475906270,74951
9,Connecticut,CT,2008,1275728835,63844462,1034480989,502751141,77088
9,Connecticut,CT,2009,1298935164,62969462,1045313922,545992002,80433
9,Connecticut,CT,2010,1342873713,63022732,1064475670,582739303,85033
9,Connecticut,CT,2011,1324368260,63911774,1076131375,563016621,86281
9,Connecticut,CT,2012,1160268979,52488083,949946216,699881712,85683
9,Connecticut,CT,2013,1100069237,45506323,887382687,731909952,87810
9,Connecticut,CT,2014,1279222689,39847659,1026156341,842804729,88681
9,Connecticut,CT,2015,1215885258,41938537,885816228,892649331,87403
9,Connecticut,CT,2016,1302886022,41774110,963610676,997100244,85705
9,Connecticut,CT,2017,1252648592,35618446,929859506,1052572485,90404
9,Connecticut,CT,2018,1228902876,35700818,894980134,1087564847,86008
9,Connecticut,CT,2019,1203274806,33812594,909709805,1095547027,83793
9,Connecticut,CT,2020,1267004898,34305444,927735399,1140292765,81422
9,Connecticut,CT,2021,1415270402,33348502,1035152975,931012166,73489
9,Connecticut,CT,2022,1683602258,33161078,1189870067,1012449493,74344
9,Connecticut,CT,2023,1994438006,35313224,1261104372,991183021,73309
9,Connecticut,CT,2024,1899039593,28399555,1223415112,1008769817,76077
10,Delaware,DE,2001,184700000,9453200,175246800,215935800,28944
10,Delaware,DE,2002,185400000,10289000,175111000,215100000,26775
10,Delaware,DE,2003,182065000,11245524,162842176,241371155,31028
