State,FY,Actual_Tax_Revenue,Total_State_Support,Education_ Appropriations,General_Public_Operations,Total_ Financial_Aid,Net_Tuition_and_Fee_Revenue,Net_ FTE_Enrollment,State_Public_Financial_Aid
Massachusetts,2020,51017520000,1740971323,1641666364,1568977185,109098138,1104231854,157447,72689179
Michigan,2020,42820340000,1972087600,2389020888,2184025949,11256800,4724835519,357224,4994939
Minnesota,2020,37104930000,1794697184,1511752958,1285877874,207937000,1689341225,180442,132513900
Mississippi,2020,11721920000,962856242,732646529,691979188,45513697,846590104,130891,40667341
Missouri,2020,24405120000,1062255277,1194499910,1091284783,128211044,1033148951,163408,103215127
Montana,2020,4850178000,259606602,229482698,226973601,2382879,254632205,35252,2382879
Nebraska,2020,11155030000,786130359,754485784,736021937,22847169,498472096,73833,18463847
Nevada,2020,14944710000,802465835,704021666,568543139,105506147,214771056,78164,105506147
New Hampshire,2020,7021117000,153405176,139449772,129667519,4962172,399656890,34695,4532672
New Jersey,2020,70341820000,2655677711,2421897413,1770902000,505240000,2143859078,264467,371711000
New Mexico,2020,10579440000,1156831549,1176348524,926020498,81925890,282933417,70090,78033786
New York,2020,2.01E+11,6139710400,6614725659,5874693898,981213761,3228620321,525589,740031761
North Carolina,2020,44129680000,4292764908,3772420700,3629788133,258083401,1807267513,403093,142265498
North Dakota,2020,5886882000,379613257,285870235,268573400,20411819,303973086,32660,17296835
Ohio,2020,57124610000,2288749931,2187142919,2082069419,159094803,3314484296,385027,105073500
Oklahoma,2020,16429200000,939917258,840447142,731127321,112387629,951467871,126370,102319821
Oregon,2020,22589400000,973782472,991039481,900446276,96762149,1320761227,137801,90593205
Pennsylvania,2020,72155380000,2008085234,1812716512,1486361453,369382000,3676543178,329025,185528860
Rhode Island,2020,6307337000,193316731,191816731,176891537,16425194,314406550,32220,14925194
South Carolina,2020,20841910000,1257229306,1063120559,698667484,462765039,1709798721,168719,364453075
South Dakota,2020,3966849000,273693662,225470436,209932592,8453348,262839364,31962,6335769
Tennessee,2020,25739870000,2197133100,1747138019,1312251959,541324300,1109264126,184954,434886060
Texas,2020,1.38E+11,9326701359,9488630940,8993299550,585562098,7287176216,1062059,495056951
Utah,2020,14687730000,1226462000,1112844946,1083024032,36174604,829709060,127833,29820914
Vermont,2020,4163444000,111971938,82563314,56204117,19470699,363037558,20562,9596752
Virginia,2020,48312590000,2524213585,2170046527,1699685972,344511871,2624673047,301730,272673568
Washington,2020,47512980000,2225826000,2066511051,1723255554,398776965,1414866717,228720,343255497
West Virginia,2020,7624471000,532421193,377363772,287875344,89792510,475635697,65445,82111427
Wisconsin,2020,31118680000,1587273503,1639862825,1512205689,146441290,1374000343,206545,116260367
Wyoming,2020,3108571000,383599482,381224106,353925230,27298876,74193703,21653,27298876
U.S.,2020,1.86E+12,98596639842,96258051900,85580324617,11674294917,76529299794,10888863,9301658224
D.C.,2020,8236709000,116560300,110117663,94299418,4476243,22191633,3176,4476243
Alabama,2019,18236900000,1631237756,1269430395,1192434142,84987627,2478097494,202773,76996253
Alaska,2019,3762051000,352493923,318675553,303607485,19103465,95133785,16721,15068068
Arizona,2019,30089140000,905535400,1635158900,1624042200,15390000,2499117400,292856,11116700
Arkansas,2019,12950530000,996489943,788120622,689161479,118070495,674418400,113245,98959143
California,2019,2.90E+11,15434012695,17453433305,15944280814,1640296881,6132966331,1591131,1509152491
Colorado,2019,32110640000,1000814344,927281692,739615026,197061473,2059136789,183744,187666666
Connecticut,2019,30762560000,1203274806,937939636,909709805,33812594,1095547027,83793,28229831
Delaware,2019,5748106000,247384870,237825000,222216800,16351608,713230253,36410,15608200
Florida,2019,85813460000,5376596509,4690942769,3918347016,1002318800,1547880831,608942,772595753
Georgia,2019,43727660000,3673135156,3194255053,2522368648,749059909,1630492845,356348,671886405
Hawaii,2019,11079500000,778347851,674282906,668755406,6966414,226637321,35254,5527500
Idaho,2019,6996485000,506520681,482420916,465901100,18796081,357973682,54421,16519816
Illinois,2019,82328040000,4255256541,4693562678,4463605690,389744099,2347816845,306967,229956988
Indiana,2019,32204010000,1849459088,1498728455,1231884952,367808184,2291011074,246300,266843503
Iowa,2019,16972750000,815470080,685165512,674739366,58910642,1236435513,129387,10426146
Kansas,2019,15540200000,806027217,868053598,853200718,27968330,891584667,132253,14852880
Kentucky,2019,19057520000,1156701400,928818100,753625700,255860200,1172971938,142003,175192400
Louisiana,2019,21256980000,1177144207,896726306,594213563,329059354,822724911,163932,302512743
Maine,2019,8245890000,308450738,268134280,249282407,21878008,247732855,33947,18851873
Maryland,2019,41042390000,2068804092,2137173966,2045257568,111334838,2007400854,229243,91916398
Massachusetts,2019,50569120000,1664231299,1564719415,1493623060,107149239,1077525136,160327,71096355
Michigan,2019,44589710000,1954421700,2342001323,2335508143,15756800,4621203820,366318,6493180
Minnesota,2019,37884490000,1631620890,1349947820,1216072620,209126304,1659365495,184367,133875200
Mississippi,2019,11788600000,910906619,700218827,662706342,42189919,843449748,132999,37512485
Missouri,2019,25313000000,998983910,1119669934,1018916034,126075383,1099357756,182499,100753900
Montana,2019,4802196000,244579818,215798132,214244029,1554103,261205134,36375,1554103
Nebraska,2019,10789520000,763888339,725418024,708335374,21715517,493015472,75940,17082650
Nevada,2019,15138060000,743977813,647794309,544809618,102984691,206541269,76424,102984691
New Hampshire,2019,6997478000,133314642,119546738,115017294,4771444,413647893,36353,4529444
New Jersey,2019,70171540000,2273200000,2056048000,1718148000,476700000,2159171680,265086,337900000
