State,FY,Actual_Tax_Revenue,Total_State_Support,Education_ Appropriations,General_Public_Operations,Total_ Financial_Aid,Net_Tuition_and_Fee_Revenue,Net_ FTE_Enrollment,State_Public_Financial_Aid
Wyoming,2016,3166731000,419149337,406852376,378169364,28683012,59434380,23812,28683012
U.S.,2016,1.59E+12,83213556024,80167001185,72280438856,10163326265,71498510326,11091114,7883807482
D.C.,2016,7233584000,82862556,78269829,71942472,6327357,32054220,4041,6327357
Alabama,2015,15180090000,1468403494,1037785642,977807606,63383773,2016926705,193411,59978036
Alaska,2015,3102853000,400419936,361042116,346114361,18255346,93633063,19934,14927755
Arizona,2015,23335360000,936524670,1521823070,1510706370,15406000,1970391400,274454,11116700
Arkansas,2015,11476350000,991233464,799621607,678070141,136062072,562211948,118416,121551466
California,2015,2.29E+11,12331766966,13772499078,11810925627,2160662339,4643130011,1563541,1961573451
Colorado,2015,24641730000,783159811,723882228,577710305,154507750,1647921581,181867,146171923
Connecticut,2015,26563540000,1215885258,913645523,885816228,41938537,892649331,87403,27829295
Delaware,2015,4502556000,226594100,215044321,200958221,16380223,616104774,36742,14086100
Florida,2015,69369680000,4224418591,3585844548,3215278967,547427143,1936262394,601198,370565581
Georgia,2015,35872440000,2898821290,2526889141,1998371638,590416261,1532088734,345467,528517503
Hawaii,2015,8709528000,573459205,483445410,479855688,4752288,237144801,39444,3589722
Idaho,2015,5639621000,401200090,386325969,380346900,6455590,359205131,54102,5979069
Illinois,2015,73479950000,4385575551,4712267216,4519241661,368560855,2354393292,351917,193025555
Indiana,2015,25226120000,1648510778,1355941941,1127824180,309530199,2154413654,252802,228117761
Iowa,2015,14804910000,847741404,742434582,729324772,64199231,1098980511,124883,13109810
Kansas,2015,12831760000,803124160,805723514,792965027,22081680,827665698,137035,12758487
Kentucky,2015,16626010000,1175573300,945871200,802071000,213143500,1167462015,152954,143800200
Louisiana,2015,18406200000,1120321587,852046487,598371552,272148579,739370138,165329,253674935
Maine,2015,6730305000,273310554,243092649,228993546,16128060,253726432,35445,14099103
Maryland,2015,35100960000,1791980404,1810536605,1730022970,98408365,1804061079,233208,80513635
Massachusetts,2015,43032920000,1462827301,1380605097,1319440097,95321870,1029492225,170703,61165000
Michigan,2015,39652330000,1784194800,2166620989,2160772425,8467800,4260438701,390047,5848564
Minnesota,2015,32665320000,1445822000,1183919022,1066607872,180664140,1609061220,198328,117311150
Mississippi,2015,10923630000,1009235634,763002600,727755699,40551433,710330675,133910,35246901
Missouri,2015,22021240000,1031361067,1135526336,1046819726,111332995,1101696194,186936,88706610
Montana,2015,4175377000,239403026,212858912,206186906,6672006,239845853,38732,6672006
Nebraska,2015,9505534000,720128058,671207932,658724888,17707864,440135123,78469,12483044
Nevada,2015,11852610000,563476687,507878372,431695239,76183133,268113800,73583,76183133
New Hampshire,2015,6213217000,165579413,154610675,154341262,269413,423382995,38398,269413
New Jersey,2015,59660950000,2293539127,2111699127,1839205000,394063127,2722541708,270053,272494127
New Mexico,2015,8642216000,965703142,951588794,864669452,89259563,247011156,96110,86919342
New York,2015,1.72E+11,5529283919,5649869548,4997975042,981844506,3133439662,566620,651894506
North Carolina,2015,38158320000,3668065220,3178773183,3036507685,244502615,1621511159,391990,142265498
North Dakota,2015,6959163000,409693640,319008712,305584976,15960069,276730327,36801,13423736
Ohio,2015,50788900000,2133970812,2016596371,1944683507,127927608,3075911250,393845,71912864
Oklahoma,2015,14702560000,1054794860,916061457,817485053,109801373,719148935,136311,98576404
Oregon,2015,17554480000,670705184,682660550,629989644,57315298,1273396339,155725,52670906
Pennsylvania,2015,62646700000,1658992000,1492362030,1276233555,404510725,3528184411,354891,216128475
Rhode Island,2015,5694178000,172470788,169164644,164631219,7839569,277234057,32687,4533425
South Carolina,2015,16686750000,970219549,821537004,578184133,329107173,1442871931,174643,243352871
South Dakota,2015,3269129000,218280386,174533370,169374588,6177612,231192966,33938,5158782
Tennessee,2015,21446190000,1579203336,1210022462,937929911,356581925,1101868418,179248,272092551
Texas,2015,1.13E+11,6849320087,6706422617,6439744968,356725476,4604766878,1010334,266677649
Utah,2015,10979750000,887761300,809658812,793792712,16056000,671912361,120352,15866100
Vermont,2015,3630728000,89559843,59682166,50989404,19217511,324222309,20616,8692762
Virginia,2015,37367160000,1809791006,1544010517,1366516729,242496453,2266186308,314066,177493788
Washington,2015,34198800000,1580750000,1444157338,1149909568,335811770,1378863784,242221,294247770
West Virginia,2015,7523539000,509752932,352283075,270578181,91317856,474327137,72765,81704894
Wisconsin,2015,26834810000,1601240683,1585055658,1468023720,148412960,1255218834,219490,117031938
Wyoming,2015,3656470000,376989173,361906678,335248242,26658436,63795835,24042,26658436
U.S.,2015,1.56E+12,81950139586,78530085357,70800378163,10018606070,67680575243,11125406,7728668732
D.C.,2015,6916842000,79709265,78950113,73457573,5492540,29673604,3723,5492540
Alabama,2014,14520770000,1444764352,1008948422,950958047,61472831,1898356149,194439,57990375
Alaska,2014,5080920000,399137684,361680907,350477271,14298807,95650071,20484,11203636
Arizona,2014,22557100000,897772262,1472975162,1461663162,15412000,1759298200,270127,11312000
Arkansas,2014,11121080000,1001496233,801842013,676536575,142996006,537016180,121365,125305438
California,2014,2.11E+11,10703009955,12107234217,10471264229,1805183726,4565860915,1532304,1635969988
Colorado,2014,23345820000,681371631,626070298,520156090,112516218,1669476695,184836,105914208
Connecticut,2014,26054910000,1279222689,1050278240,1026156341,39847659,842804729,88681,24121899
Delaware,2014,4123817000,227606200,216749517,202663417,15756922,593521558,35657,14086100
Florida,2014,66847580000,3925291450,3338502730,2947397550,546526979,1913789976,608226,391105180
Georgia,2014,34132870000,2775561943,2415597522,1925127296,552094850,1461830137,348844,490470226
Hawaii,2014,8122414000,530388306,444736681,440952869,4922178,229053322,40436,3783812
Idaho,2014,5272136000,374203132,361021399,355796099,6282433,316391800,56177,5225300
Illinois,2014,73525410000,4306995896,4628969416,4427056410,374596806,2252844387,362508,201913006
Indiana,2014,24578230000,1663061249,1372423486,1145375251,301826996,2092348604,253337,227048235
Iowa,2014,14053240000,823333019,715192428,702082618,63324231,1067878653,127407,13109810
Kansas,2014,12746190000,771121325,784700743,772468537,21567905,795202276,138310,12232206
Kentucky,2014,15923580000,1192455700,947049500,806972200,211576600,1140213309,154713,140077300
Louisiana,2014,18108240000,1125250832,845140930,615616419,246632214,701818026,168001,229524511
Maine,2014,6398023000,271864121,238458459,229817022,10670394,260612079,36577,8641437
Maryland,2014,33362270000,1721006820,1724853392,1637731836,106398584,1743565901,232935,87121556
Massachusetts,2014,40622550000,1342072529,1258601808,1197982936,95469593,1021560487,172573,60618872
Michigan,2014,37404640000,1669524700,2052012444,2048252244,4334255,4123800091,400859,3760200
Minnesota,2014,30677510000,1394503000,1133505098,1023181573,175360363,1641731821,203523,110323525
Mississippi,2014,10474230000,973846876,727455690,696675663,35738847,686946035,134694,30780027
Missouri,2014,20984340000,954236519,1042226798,968491851,107401820,1093890282,196831,73734947
Montana,2014,3929690000,227006121,200974746,194917968,6056778,236322324,39484,6056778
Nebraska,2014,9109647000,691113035,630605782,618537791,17617613,441823036,79662,12067991
Nevada,2014,11271640000,560234286,504748085,430154390,74593695,252737535,64497,74593695
New Hampshire,2014,5742143000,109000000,97360942,97360942,0,406697961,36988,0
New Jersey,2014,57429320000,2279587095,2111173681,1856637586,369887095,2540110583,274341,254536095
New Mexico,2014,8274730000,926967526,841360779,748631665,94985665,242388418,98630,92729114
New York,2014,1.68E+11,5306812959,5255893404,4643421144,942776260,2973033601,568654,612472260
North Carolina,2014,36124830000,3625292891,3143949342,3003779050,237136515,1565906417,402199,140170292
North Dakota,2014,7204874000,409693640,321066294,307449460,16446180,271820562,36927,13616834
Ohio,2014,48766320000,2104931061,1781993027,1715375305,117483937,3033417583,401856,66617722
Oklahoma,2014,13782220000,1053566920,911964117,818171577,105107894,689429761,145401,93792540
Oregon,2014,16292230000,631121950,734877844,678036833,61014320,1289871951,155418,56841011
Pennsylvania,2014,59941010000,1644692000,1454107052,1219433052,444435261,3397150711,358693,234674000
Rhode Island,2014,5465835000,167567862,161089305,153595181,12949135,270245659,32781,7494124
South Carolina,2014,15689190000,909110205,765135314,490597716,358579485,1318386826,174816,274537598
South Dakota,2014,3125075000,207837626,164564265,160556524,4798374,222963649,33659,4007741
Tennessee,2014,20199280000,1587786604,1216121099,947116539,356546465,1066458036,182285,269004560
Texas,2014,1.09E+11,6948653093,6911481712,6731291720,270237819,4396541173,1010936,180189992
Utah,2014,10343630000,798346200,705224200,691862500,13634300,642402471,119692,13361700
Vermont,2014,3512931000,92686200,66977127,58047387,19784813,313606535,20922,8929740
Virginia,2014,35027340000,1780468378,1518054859,1338911071,241146453,2187757879,318166,179143788
Washington,2014,32230170000,1570807000,1446189202,1155504857,323474690,1333430655,245011,290684345
West Virginia,2014,7309614000,516276320,366011744,283138195,92360908,473975761,76202,82873549
Wisconsin,2014,26383840000,1114018800,1498345745,1381315446,149608077,1257366916,223777,117030299
Wyoming,2014,3554191000,352669707,338298727,312205418,26093309,60354917,24986,26093309
U.S.,2014,1.49E+12,78065345902,74824834156,67636902823,9428964258,65389662603,11209827,7186892871
D.C.,2014,6297282000,73679736,72869414,66690620,6178794,28783890,3895,6178794
Alabama,2013,14517180000,1406898493,998984984,948799296,52207814,1819984319,197110,50185688
Alaska,2013,6797934000,382162973,344074639,334818774,12190209,100792185,21151,9255865
Arizona,2013,23049620000,859086088,1418173488,1406861488,15418000,1624760600,270644,11312000
Arkansas,2013,10768530000,1015018606,810816178,668514684,160586249,478933391,124157,142301494
California,2013,2.03E+11,9356628000,10863467225,9595555474,1372161526,4681892978,1500851,1267911751
Colorado,2013,22480090000,642091197,584189704,483850867,106898187,1511706976,188405,100338837
Connecticut,2013,25842240000,1100069237,915246552,887382687,45506323,731909952,87810,27863865
Delaware,2013,4251578000,216492700,202886697,189040997,15834503,559488627,34715,13845700
Florida,2013,66080420000,3338709069,2790407674,2379679218,551810147,1913833608,619179,410728456
Georgia,2013,33316950000,2607128639,2259457706,1798831413,522116598,1428752143,355866,460626293
Hawaii,2013,8061705000,526179654,438366446,435160548,4344264,221520570,41094,3205898
Idaho,2013,5117027000,360079309,347809597,342222900,6671809,293802603,57837,5586697
Illinois,2013,71995790000,4292588457,4649177747,4440345804,379078443,2203354191,373403,208831943
Indiana,2013,24557570000,1557306211,1271690112,1066751770,277861541,2087951243,256331,204938342
Iowa,2013,14042960000,787419692,683894842,668085032,64449231,1023528924,129669,15809810
Kansas,2013,12854810000,795346375,793332707,781945012,20755892,760209803,140182,11387695
Kentucky,2013,15483100000,1186693600,941574900,809801200,203204200,1114536361,155479,131773700
Louisiana,2013,17387820000,1174061988,864031760,663305247,217189085,672197554,174552,200726513
Maine,2013,6309195000,265872234,232804173,224277341,10526993,263258782,37342,8526832
Maryland,2013,32284010000,1617306184,1616149776,1544613877,88199926,1774080144,238814,71535899
Massachusetts,2013,38830500000,1255182474,1171537382,1111848560,98947914,1004739170,171974,59688822
Michigan,2013,37083960000,1608824500,1972366981,1971482581,967852,4050169580,411770,884400
Minnesota,2013,30813440000,1285247000,1031597004,927647744,163787905,1661712699,210332,103949260
Mississippi,2013,10226520000,924952654,700799740,673683978,31366391,651695512,132259,27115762
Missouri,2013,20704670000,931239665,1024095544,954567351,104262158,1032026271,196659,69528193
Montana,2013,3850741000,202187817,182151670,177455837,4695833,227989504,40169,4695833
Nebraska,2013,8693922000,662501367,603440273,592444622,16457362,425530627,81270,10995651
Nevada,2013,11033330000,541341406,489881866,420908477,68973389,242573993,65917,68973389
New Hampshire,2013,5918088000,85622352,73983294,73983294,0,416200931,39224,0
New Jersey,2013,56287480000,2160518000,2034086000,1788266000,355112000,2321303085,276052,245820000
New Mexico,2013,7764532000,898940515,818696960,730246724,90748458,231623807,101239,88450236
New York,2013,1.59E+11,5111538235,5031618093,4436660093,942019000,2795146195,571693,594958000
North Carolina,2013,35454520000,3751478952,3245780450,3084990242,246538112,1461468911,410622,160790208
North Dakota,2013,6372923000,343805783,268221027,255039487,15863296,263864824,37122,13181540
Ohio,2013,48600050000,2050123177,1716432811,1650579506,121864953,3019540212,400796,65853305
Oklahoma,2013,13392060000,1044735666,900660141,802147841,109338232,644369783,144138,98512300
Oregon,2013,15356790000,580701607,673525369,626051229,51647449,1110791005,160939,47474140
Pennsylvania,2013,58815000000,1632655000,1440341869,1209601075,444137697,3301347212,364468,230740794
Rhode Island,2013,5389284000,164566569,156563306,147346196,16364714,272944370,33042,9217110
South Carolina,2013,15094930000,910405772,764222416,492774027,355588882,1283364069,178240,271448389
South Dakota,2013,2960806000,196229662,157146708,153412222,4430965,220311302,32945,3734486
Tennessee,2013,20074630000,1455168883,1105534384,826398643,366728840,997406770,188759,279135741
Texas,2013,1.03E+11,6351228175,6257233739,6032004031,309652535,4297132872,1019173,225229708
Utah,2013,10212470000,748759000,663684400,650577100,13383000,619075717,123851,13107300
Vermont,2013,3318115000,89340755,63546419,54774383,19619154,315870080,21279,8772036
Virginia,2013,34725690000,1712075324,1454296199,1285491635,230807229,2227928709,320481,168804564
Washington,2013,30857420000,1407137000,1280859100,991223330,323841540,1278143360,248273,289635770
West Virginia,2013,7215252000,550588678,397278809,313611120,93132074,417870667,78458,83667689
Wisconsin,2013,26424600000,1163226571,1548448861,1432751460,147128956,1216018562,229463,115697401
Wyoming,2013,3343829000,383533411,370009335,343643288,26366047,58504472,25669,26366047
U.S.,2013,1.45E+12,73690994676,70624577057,63881455705,8900782877,63333159225,11320867,6743121352
D.C.,2013,6100486000,84868684,84000816,75404620,8596196,26884323,3945,8596196
Alabama,2012,14257630000,1494583181,1070652706,1021375371,51417964,1722616281,206364,49277335
Alaska,2012,8679544000,365681845,330027482,324461482,8527023,100972288,21674,5566000
Arizona,2012,22123990000,839683893,1383694893,1372382893,15418000,1518362500,275238,11312000
Arkansas,2012,10392910000,1018182219,819881057,678445625,156739480,459833218,124426,141435432
California,2012,1.83E+11,9419265350,10414119104,8740404031,1992862319,3939168651,1525443,1673715073
Colorado,2012,21163360000,648886945,592325387,492451054,106368892,1429713875,192541,99874333
Connecticut,2012,25019500000,1160268979,982821895,949946216,52488083,699881712,85683,32875679
Delaware,2012,4127892000,213193700,201555666,187709966,15211234,533000003,34672,13845700
Florida,2012,64645930000,3622861769,3078166171,2632344058,587620803,1771336975,641446,445822113
Georgia,2012,32311080000,2664154607,2321424853,1761684700,551692379,1313233421,379844,485507241
Hawaii,2012,7447646000,522410826,430742086,426968302,4915034,215871222,40883,3773784
Idaho,2012,4850322000,334633399,321463022,315052500,7627099,254634678,58980,6410522
Illinois,2012,68980020000,3832385769,4148226335,3925693349,414369586,2027827593,384615,222532986
Indiana,2012,24214440000,1551918210,1267430181,1064472617,277939259,2042096696,262545,202957564
Iowa,2012,13564730000,740351670,633500718,622989335,58635231,994379661,132423,10511383
Kansas,2012,12506210000,752992878,754504492,742780635,21294175,743939798,141354,11723857
Kentucky,2012,15142670000,1234008200,967328400,837628200,201687300,1071622341,159306,129700200
Louisiana,2012,16956570000,1237070397,936655401,760407064,191729208,615353756,181590,176248337
Maine,2012,6137743000,270884116,238370180,227659644,11073453,262185609,37897,8979028
Maryland,2012,31109470000,1606876744,1618746129,1544854995,90845982,1744255919,242955,73891134
Massachusetts,2012,37064830000,1208206572,1121562136,1057970742,97725187,947539477,170221,56749751
Michigan,2012,36226220000,1549732500,1893141017,1892325017,984000,3906499069,423785,816000
Minnesota,2012,28114420000,1285041000,1047169194,960207820,144547390,1677759468,214653,86961374
Mississippi,2012,9709929000,954183795,694142103,669130452,29320285,637517566,138031,25011651
Missouri,2012,20361140000,933329405,1029725715,965008691,96994875,1009363292,196360,64717024
Montana,2012,3618400000,202105316,182494506,178716139,3778367,220141468,40847,3778367
Nebraska,2012,8150284000,653999223,577768631,567078101,16537111,412657611,83861,10690530
Nevada,2012,10546530000,537942550,480522512,415728288,64794224,233758774,65238,64794224
New Hampshire,2012,5283475000,82697778,71728980,71728980,0,389877552,39099,0
New Jersey,2012,53893920000,2058909152,1944208673,1714788000,326909152,2277082291,278868,229420673
New Mexico,2012,7893425000,864647736,784704857,702846588,84457413,223828815,97719,81858269
New York,2012,1.52E+11,4854134187,4777758328,4177366854,943850000,2634627928,576389,586042000
North Carolina,2012,34453930000,3578659248,3079049751,2935449751,234355612,1364324421,412349,143600000
North Dakota,2012,5136457000,343964303,268857422,257616734,13444569,256395406,37503,11240688
Ohio,2012,46803550000,2013731126,1806077800,1748868719,108594126,2979346316,423509,57209081
Oklahoma,2012,13269140000,1042592350,899583438,801071138,109228710,591943835,146518,98512300
Oregon,2012,14820700000,566031614,665132639,625880305,43358670,1050594717,165094,39252334
Pennsylvania,2012,57016340000,1639540000,1450554050,1203461774,454677342,2853558118,369046,247092276
Rhode Island,2012,5269520000,181651066,175683425,147340823,13426488,258789949,33550,8305732
South Carolina,2012,14296050000,859516750,719317577,468426797,334308024,1232205845,173448,250890780
South Dakota,2012,2895466000,181016376,145782491,142145391,4319767,210029593,33540,3637100
Tennessee,2012,19278340000,1414996174,1074430805,798276461,361351513,939248900,190710,276154344
Texas,2012,97115770000,6474261279,6306820953,6076634445,314609335,3795933014,1013647,230186508
Utah,2012,9604201000,728922600,647704337,636313837,11627100,598688859,126594,11390500
Vermont,2012,3185370000,90109661,63659806,54617027,20466340,311476127,21807,8958773
Virginia,2012,33281110000,1624026722,1389731859,1230188369,215689723,2132097669,325517,159543490
Washington,2012,29448540000,1361782000,1237618912,991829064,282656341,1132833152,253902,245789848
West Virginia,2012,7061648000,545167484,394822173,312522192,92897557,423652813,80193,82141200
Wisconsin,2012,25480370000,1107423602,1498631797,1387974652,140598966,1156408923,233284,110657145
Wyoming,2012,3529503000,337988717,322912184,296763080,26149104,54335426,26174,26149104
U.S.,2012,1.38E+12,72806604983,69262934229,62117988268,9410119795,59372802591,11521335,7027510767
D.C.,2012,5853298000,77933512,77047290,67362122,9685168,25447131,4034,9685168
Alabama,2011,13878570000,1543660595,1136580631,973347229,47381091,1575807814,212758,44489857
Alaska,2011,7292155000,349633978,314709156,313296341,4327890,96664682,21090,1412815
Arizona,2011,21655500000,1102405719,1638678519,1627366519,15418000,1354359400,275071,11312000
Arkansas,2011,9949704000,1015701968,823150391,672182158,149382034,413332125,124085,137326868
California,2011,1.85E+11,11214651200,11964817383,10415126793,1649592407,2829729294,1580877,1332611590
Colorado,2011,21791870000,767188422,708487160,521713929,106694427,1373262998,195621,97579132
Connecticut,2011,22762680000,1324368260,1113143409,1076131375,63911774,563016621,86281,37012034
Delaware,2011,4072252000,212455800,198939300,185093600,15355500,468051904,34648,13845700
Florida,2011,65259270000,4132825282,3553665384,2701961365,664650070,1556597170,636320,501240081
Georgia,2011,31132740000,2976759287,2621894838,1871860814,747907040,934203912,386534,692735177
Hawaii,2011,6572749000,523978138,435243076,409979253,4404833,199913824,40743,3263583
Idaho,2011,4711409000,347376657,333534140,323939800,5934857,207545860,53201,4827440
Illinois,2011,59551950000,3603549212,3910979564,3710693147,391426017,1947496354,393313,200286417
Indiana,2011,23152480000,1564730685,1286297891,1102950176,248324857,1777980202,273322,183347715
Iowa,2011,12649130000,758711929,648260049,638614810,58968671,938365941,132744,9645239
Kansas,2011,11756880000,795182338,784227321,732929605,20103579,698588789,141031,10874182
Kentucky,2011,14556420000,1283638900,1011144800,827237900,200298500,1051253243,159806,126634300
Louisiana,2011,16612380000,1582176852,1267862139,821694869,170401609,465338841,183633,156574790
Maine,2011,6054014000,276689767,244113075,224635897,10973453,258334135,38284,8899108
Maryland,2011,29037070000,1596186225,1613594000,1539246289,91674365,1648105024,238742,74347711
Massachusetts,2011,35841110000,1214703917,1137124193,1005925567,97865172,1066386188,168671,55144905
Michigan,2011,36102280000,1869659000,2188689401,2141928126,88626400,3650716526,435592,46761275
Minnesota,2011,26822750000,1384573000,1140802239,1071460274,121986269,1573515354,214342,69341965
Mississippi,2011,9269168000,1019593795,754990090,645891470,27242480,587935927,138999,22899732
Missouri,2011,19641850000,1000997715,1086937580,986173779,90827502,936931726,197890,59321648
Montana,2011,3434612000,209541869,190837778,149981707,3689478,211982718,40961,3689478
Nebraska,2011,7800549000,653935362,619676438,608492390,14746723,385278034,84384,11184048
Nevada,2011,10214320000,614888041,554483475,489764038,64719437,215092101,69169,64719437
New Hampshire,2011,5311294000,137555490,121140173,118340173,3834246,356995679,39036,2800000
New Jersey,2011,53149940000,2144376894,2073551894,1833895000,329621894,2169429461,277147,239656894
New Mexico,2011,7249589000,901404054,740452908,647387478,83674376,196105493,92078,81177930
New York,2011,1.45E+11,5237792624,5150253314,4342754047,870863000,2480299392,578830,525556000
North Carolina,2011,33710620000,3780946745,3195585568,2900943843,281588884,1131856850,425779,175421006
North Dakota,2011,4709350000,311678000,245106187,235214565,12198435,241030434,37915,9891622
Ohio,2011,45123780000,2282711269,2063931205,1707495831,110020516,2744416423,460747,68632712
Oklahoma,2011,12010590000,1143222958,989201580,836095067,104749561,544525158,150171,93311527
Oregon,2011,14110680000,650162979,744008392,704435969,18834547,966002243,168374,16394446
Pennsylvania,2011,55770940000,1944404000,1781185674,1495929097,366421294,3546637211,374997,188877577
Rhode Island,2011,5080343000,164609803,158443823,143803910,13629621,252953891,33062,7463641
South Carolina,2011,13743800000,928848337,768243986,410407194,326467583,1122513957,172375,244079132
South Dakota,2011,2699154000,196616485,160511768,144911660,4892100,196399809,33313,4234600
Tennessee,2011,19077700000,1659586381,1292017813,1018902396,356033885,825307775,193994,273115417
Texas,2011,90778180000,6270811568,6342171469,6074930382,351663914,3813170718,979943,267241087
Utah,2011,9057134000,734871622,667596122,615063522,14761800,541725864,125073,14557500
Vermont,2011,3140119000,94227425,68214115,59650868,19138458,295116001,22578,8067436
Virginia,2011,32152970000,1903977834,1682407571,1334195275,200114095,1898047149,321965,146477862
Washington,2011,28409660000,1592882000,1458404450,1250368186,246368617,994744736,261485,208036264
West Virginia,2011,6975261000,535119010,391838515,279220386,89354616,398534349,81116,78023329
Wisconsin,2011,25605390000,1330088284,1714468477,1606969772,138936396,1054881991,240625,107498705
Wyoming,2011,3673312000,384795426,368019303,302032479,25478419,47813616,26392,25478419
U.S.,2011,1.33E+12,79270453101,75459617727,65852566320,9145480692,54804294907,11655107,6767321333
D.C.,2011,5325261000,75674060,74786277,66420000,8366277,28159229,3659,8366277
Alabama,2010,13284900000,1542585887,1136929049,980561264,40550610,1418531919,210067,37624240
Alaska,2010,6167527000,336896278,302786996,301998996,3424725,88850609,20291,788000
Arizona,2010,19633650000,1187766416,1710803216,1616343316,18163600,1227840600,259953,11312000
Arkansas,2010,9493633000,951796422,770927093,697669580,66783053,430593853,118884,59616148
California,2010,1.73E+11,10969069250,11887873683,9889291602,1334987648,3034553863,1617690,1067552081
Colorado,2010,20497010000,831951886,826747266,346686668,105984659,1207442138,187231,98052349
Connecticut,2010,21413690000,1342873713,1134269869,1064475670,63022732,582739303,85033,36319573
Delaware,2010,3580274000,242518560,228906260,199187560,15440800,426590796,33570,13845700
Florida,2010,65838380000,3958273967,3418837385,2618276607,671442650,1210873504,607246,507755616
Georgia,2010,30113400000,2979707008,2600247628,1653380867,637442830,830474091,371921,591744886
Hawaii,2010,6599420000,567966074,473803715,438518816,4447465,183970252,39857,3284899
Idaho,2010,4340363000,369722800,354996631,331878701,6901499,181354770,49251,5434030
Illinois,2010,53701620000,3684064394,3968199581,3666784149,389327032,1789555277,391926,207479032
Indiana,2010,23334190000,1595424390,1317912087,1116906373,230520295,1660671841,265758,167111649
Iowa,2010,11948910000,863776446,747052457,632090085,57066456,843076558,127128,9082372
Kansas,2010,11414650000,793700801,785116448,732864659,21240184,641365748,138240,12251789
Kentucky,2010,13768830000,1286116198,1040926278,841352803,203195901,970323192,154247,129573475
Louisiana,2010,16152070000,1493619738,1174964909,839313019,158844406,444945951,178931,145951890
Maine,2010,5838327000,270023801,236575416,216776084,11485005,250095354,37517,9242479
Maryland,2010,28066140000,1600560142,1660420682,1581804128,97453900,1534937474,231189,78616554
Massachusetts,2010,33475380000,1208725729,1134027749,853506758,93904262,988836678,165244,50250284
Michigan,2010,35705630000,1905703800,2292354481,2185565006,78573300,3447641248,434490,38551475
Minnesota,2010,24362350000,1566839000,1306341577,1056914577,187746000,1455113575,215009,111484000
Mississippi,2010,8971307000,1069923179,796774018,710839906,26859675,526819298,132222,22488088
Missouri,2010,18969730000,1085179342,1153079258,996474367,98163964,774460266,191608,51818252
Montana,2010,3218860000,209496709,189023770,145085464,5955446,196219494,38909,5955446
Nebraska,2010,7369089000,641402181,606340562,597561109,12131838,288899846,83206,8779453
Nevada,2010,10135060000,645494029,580701757,331693015,64230120,193177180,68799,64230120
New Hampshire,2010,5019682000,144610959,127897496,119470037,4061124,328746132,39171,2699500
New Jersey,2010,51098730000,2430115196,2262639162,1942161000,333240196,1959451758,268066,246808162
New Mexico,2010,6548124000,943315026,744076764,654928841,76411569,156222725,98709,73609523
New York,2010,1.36E+11,5144258636,4955468129,4250860464,916883000,2389185067,572378,549773000
North Carolina,2010,32708340000,3753464917,3162931419,2877782490,249445010,1039783949,420956,147332985
North Dakota,2010,3478468000,311677000,246221389,237963436,9448564,234927459,37716,8257953
Ohio,2010,43406990000,2277951986,2041142065,1696109417,108637911,2606164053,447494,64010412
Oklahoma,2010,11399350000,1189774282,1025733154,865974258,102338107,491708038,142024,90966419
Oregon,2010,13125010000,690552147,750914309,625441743,82512241,753048670,160037,77826889
Pennsylvania,2010,52706080000,1968098000,1817641215,1508658457,410694895,3288017259,371286,212579758
Rhode Island,2010,4811083000,160619897,153104074,143814089,15946801,244119310,33023,8430978
South Carolina,2010,13160050000,1027812395,834588060,491842836,321652756,986897823,171727,239458445
South Dakota,2010,2583836000,198653313,160824726,146131191,3862267,179231279,32324,3218600
Tennessee,2010,18243790000,1655904400,1318029676,891459366,340665934,725831090,187864,261477410
Texas,2010,86502340000,6761849616,6581785758,5992012765,368740148,3358202985,896832,262865493
Utah,2010,8321478000,745139400,672510100,602383000,12488800,464400349,118446,12160300
Vermont,2010,2953897000,93255052,66939581,57932553,20380211,283535268,21795,9007028
Virginia,2010,31176040000,1802021513,1583189711,1362595431,205653440,1828423523,312598,145577862
Washington,2010,26773230000,1673104000,1555846701,1251871993,243282679,813477549,254867,203312708
West Virginia,2010,6471136000,523261053,378125881,266278932,90932211,369616346,78798,79383593
Wisconsin,2010,24390870000,1247696524,1636655370,1558188628,107460359,1004222753,237403,78466742
Wyoming,2010,3479712000,307863715,298261301,272312045,25949256,43630907,25587,25949256
U.S.,2010,1.26E+12,80252177167,76211465862,64459974121,8755977534,50378798970,11384518,6349368896
Alabama,2009,13349220000,1581208946,1136882694,1103535043,36945106,1125309401,199153,33347651
Alaska,2009,6358792000,323443318,293886002,292036084,4007593,81322165,19030,1849918
Arizona,2009,20645410000,1351127985,1832245585,1638124285,18263000,1081378100,245680,11312000
Arkansas,2009,9425428000,887321221,702271943,668579746,42838918,408636085,108474,33692197
California,2009,1.70E+11,10205875800,11312204231,9961088402,1059762398,2721546578,1633524,814115829
Colorado,2009,18748460000,837159179,791038697,537983701,111413927,1021888005,171564,102090941
Connecticut,2009,21092340000,1298935164,1081587490,1045313922,62969462,545992002,80433,36273568
Delaware,2009,3594071000,243840165,230633155,216897255,15320510,379767784,32417,13735900
Florida,2009,68605380000,4107485788,3554773837,3039183415,687495333,884861764,564963,515590422
Georgia,2009,31509610000,2907417173,2488885169,1992477677,520099134,705562005,331967,477103040
Hawaii,2009,6389452000,604878507,501392119,499607220,2939159,156639995,37070,1784899
Idaho,2009,4520747000,416493100,384974010,376698200,9694300,145888390,44705,8275810
Illinois,2009,56770770000,3203555376,3443330758,3236048858,387048300,1587322553,368019,207281900
